human_date_time,link,dealised_author_full_name
Mon Aug  8 15:20:34 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201108.mbox/<EMEW3|24ae718dde3375684d7120787624583en77FLo06rav08r|ecs.soton.ac.uk|004701cc55d6$561300b0$02390210$@soton.ac.uk>,rob vesse
Sat Aug 27 11:44:37 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201108.mbox/<EMEW3|d227a378f76d33016c3462839cad2a05n7QBjh06rav08r|ecs.soton.ac.uk|002801cc64a6$50d50bf0$f27f23d0$@soton.ac.uk>,rob vesse
