human_date_time,link,dealised_author_full_name
Thu Apr  2 09:03:12 2009,http://mail-archives.apache.org/mod_mbox/cassandra-commits/200904.mbox/<1343775961.1238688192994.JavaMail.jira@brutus>,brett eisenberg
Thu Apr  2 09:38:12 2009,http://mail-archives.apache.org/mod_mbox/cassandra-commits/200904.mbox/<272222228.1238690292918.JavaMail.jira@brutus>,brett eisenberg
Thu Apr  2 09:48:13 2009,http://mail-archives.apache.org/mod_mbox/cassandra-commits/200904.mbox/<1490675229.1238690893324.JavaMail.jira@brutus>,brett eisenberg
