human_date_time,link,dealised_author_full_name
Tue Oct 16 21:07:03 2012,http://mail-archives.apache.org/mod_mbox/hcatalog-dev/201210.mbox/<1154774651.53508.1350421623445.JavaMail.jiratomcat@arcas>,vikram dixit k
Tue Oct 16 21:09:04 2012,http://mail-archives.apache.org/mod_mbox/hcatalog-dev/201210.mbox/<348758140.53517.1350421744165.JavaMail.jiratomcat@arcas>,vikram dixit k
Thu Oct 18 21:26:03 2012,http://mail-archives.apache.org/mod_mbox/hcatalog-dev/201210.mbox/<1132011316.65848.1350595563925.JavaMail.jiratomcat@arcas>,vikram dixit k
