human_date_time,link,dealised_author_full_name
Tue Mar  1 11:25:12 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201103.mbox/<EMEW3|040ee262b3ea88364975ff21a7d21c59n20BPk06rav08r|ecs.soton.ac.uk|013901cbd803$54eb4f40$fec1edc0$@soton.ac.uk>,rob vesse
Tue Mar 22 10:26:09 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201103.mbox/<EMEW3|bc5dd32c8daa95c23b8170ca1c63b9c7n2LAQg06rav08r|ecs.soton.ac.uk|006801cbe87b$8f89df30$ae9d9d90$@soton.ac.uk>,rob vesse
