human_date_time,link,dealised_author_full_name
Mon Aug 30 11:09:53 2010,http://mail-archives.apache.org/mod_mbox/wink-dev/201008.mbox/<30781341.70061283180993016.JavaMail.jira@thor>,luciano resende
Mon Aug 30 11:12:53 2010,http://mail-archives.apache.org/mod_mbox/wink-dev/201008.mbox/<22021476.70111283181173827.JavaMail.jira@thor>,luciano resende
Mon Aug 30 17:34:53 2010,http://mail-archives.apache.org/mod_mbox/wink-dev/201008.mbox/<31709867.76471283204093260.JavaMail.jira@thor>,luciano resende
