human_date_time,link,dealised_author_full_name
Thu Oct 18 01:06:19 2012,http://mail-archives.apache.org/mod_mbox/drill-dev/201210.mbox/<849001072.414.1350522379385.JavaMail.hudson@aegis>,apache jenkins server
Thu Oct 18 08:24:58 2012,http://mail-archives.apache.org/mod_mbox/drill-dev/201210.mbox/<59499091.473.1350548700120.JavaMail.hudson@aegis>,apache jenkins server
Thu Oct 18 09:21:44 2012,http://mail-archives.apache.org/mod_mbox/drill-dev/201210.mbox/<290527336.482.1350552104584.JavaMail.hudson@aegis>,apache jenkins server
Thu Oct 18 17:48:53 2012,http://mail-archives.apache.org/mod_mbox/drill-dev/201210.mbox/<1467284348.573.1350582533636.JavaMail.hudson@aegis>,apache jenkins server
Thu Oct 18 19:20:09 2012,http://mail-archives.apache.org/mod_mbox/drill-dev/201210.mbox/<2067436992.592.1350588009957.JavaMail.hudson@aegis>,apache jenkins server
Thu Oct 18 20:19:54 2012,http://mail-archives.apache.org/mod_mbox/drill-dev/201210.mbox/<2042892141.598.1350591594281.JavaMail.hudson@aegis>,apache jenkins server
Thu Oct 18 20:45:37 2012,http://mail-archives.apache.org/mod_mbox/drill-dev/201210.mbox/<1072533737.603.1350593138935.JavaMail.hudson@aegis>,apache jenkins server
Thu Oct 18 20:55:37 2012,http://mail-archives.apache.org/mod_mbox/drill-dev/201210.mbox/<1427038321.604.1350593737274.JavaMail.hudson@aegis>,apache jenkins server
Thu Oct 18 20:57:56 2012,http://mail-archives.apache.org/mod_mbox/drill-dev/201210.mbox/<1207352247.605.1350593876731.JavaMail.hudson@aegis>,apache jenkins server
